ID,Student Answer,Category,Q1_Answer,Cluster_ID
1,Momentum is conserved because there are no external forces.,Exact Match,Momentum is conserved because there are no external forces.,6
2,Momentum is conserved because there are no external forces.,Exact Match,Momentum is conserved because there are no external forces.,6
3,Momentum is conserved because there are no external forces.,Exact Match,Momentum is conserved because there are no external forces.,6
4,Momentum is conserved because there are no external forces.,Exact Match,Momentum is conserved because there are no external forces.,6
5,Momentum is conserved because there are no external forces.,Exact Match,Momentum is conserved because there are no external forces.,6
6,"Due to the absence of outside force, the total momentum remains constant.",Phrasing Variation,"Due to the absence of outside force, the total momentum remains constant.",5
7,"In an isolated system where net force is zero, momentum does not change.",Phrasing Variation,"In an isolated system where net force is zero, momentum does not change.",-1
8,Total momentum stays the same since no external impulse is applied.,Phrasing Variation,Total momentum stays the same since no external impulse is applied.,5
9,The momentum of the objects is constant because external force is zero.,Phrasing Variation,The momentum of the objects is constant because external force is zero.,-1
10,"Since there's no resultant external force acting, momentum is preserved.",Phrasing Variation,"Since there's no resultant external force acting, momentum is preserved.",6
11,"External force zero hai, isliye momentum conserve rahega.",Hinglish/Hindi,"External force zero hai, isliye momentum conserve rahega.",3
12,"System pe koi bahar se force nahi lag raha, toh momentum constant hai.",Hinglish/Hindi,"System pe koi bahar se force nahi lag raha, toh momentum constant hai.",-1
13,"Agar external force absent ho, toh total momentum badalta nahi hai.",Hinglish/Hindi,"Agar external force absent ho, toh total momentum badalta nahi hai.",-1
14,Momentum is conserved.,Partially Correct,Momentum is conserved.,-1
15,Because there are no external forces acting on the bodies.,Partially Correct,Because there are no external forces acting on the bodies.,2
16,The total momentum remains constant in the system.,Partially Correct,The total momentum remains constant in the system.,4
17,Momentum constant rehta hai.,Partially Correct,Momentum constant rehta hai.,-1
18,Gravity pulls it down.,Wrong,Gravity pulls it down.,1
19,Kinetic energy is always conserved in all collisions.,Wrong,Kinetic energy is always conserved in all collisions.,-1
20,Acceleration is proportional to the force applied.,Wrong,Acceleration is proportional to the force applied.,0
21,Momentum is conserved because there are no external forces.,Exact Match,Momentum is conserved because there are no external forces.,6
22,Momentum is conserved because there are no external forces.,Exact Match,Momentum is conserved because there are no external forces.,6
23,Momentum is conserved because there are no external forces.,Exact Match,Momentum is conserved because there are no external forces.,6
24,Momentum is conserved because there are no external forces.,Exact Match,Momentum is conserved because there are no external forces.,6
25,Momentum is conserved because there are no external forces.,Exact Match,Momentum is conserved because there are no external forces.,6
26,"When no external force acts on the system, the total momentum is conserved.",Phrasing Variation,"When no external force acts on the system, the total momentum is conserved.",7
27,The net momentum of the system stays unchanged in the absence of external forces.,Phrasing Variation,The net momentum of the system stays unchanged in the absence of external forces.,5
28,"As no outside force influences the system, the combined momentum does not vary.",Phrasing Variation,"As no outside force influences the system, the combined momentum does not vary.",5
29,Momentum is maintained constant because the net external force on the system is nil.,Phrasing Variation,Momentum is maintained constant because the net external force on the system is nil.,5
30,"Without any external force acting, the system's momentum remains the same throughout.",Phrasing Variation,"Without any external force acting, the system's momentum remains the same throughout.",5
31,"Koi external force nahi hai is system mein, isliye momentum same rehega.",Hinglish/Hindi,"Koi external force nahi hai is system mein, isliye momentum same rehega.",3
32,Total momentum change nahi hoga kyunki baaki forces zero hain.,Hinglish/Hindi,Total momentum change nahi hoga kyunki baaki forces zero hain.,-1
33,"External forces nahi hain, toh conservation of momentum apply hoga.",Hinglish/Hindi,"External forces nahi hain, toh conservation of momentum apply hoga.",3
34,There are no external forces present in the system.,Partially Correct,There are no external forces present in the system.,2
35,The total momentum of the system does not change.,Partially Correct,The total momentum of the system does not change.,4
36,Momentum stays the same during the collision.,Partially Correct,Momentum stays the same during the collision.,-1
37,The objects have equal and opposite momenta.,Partially Correct,The objects have equal and opposite momenta.,-1
38,The velocity of the object increases due to gravity.,Wrong,The velocity of the object increases due to gravity.,1
39,The force applied equals the mass times velocity.,Wrong,The force applied equals the mass times velocity.,0
40,Energy is neither created nor destroyed in the collision.,Wrong,Energy is neither created nor destroyed in the collision.,-1
41,Momentum is conserved because there are no external forces.,Exact Match,Momentum is conserved because there are no external forces.,6
42,Momentum is conserved because there are no external forces.,Exact Match,Momentum is conserved because there are no external forces.,6
43,Momentum is conserved because there are no external forces.,Exact Match,Momentum is conserved because there are no external forces.,6
44,Momentum is conserved because there are no external forces.,Exact Match,Momentum is conserved because there are no external forces.,6
45,Momentum is conserved because there are no external forces.,Exact Match,Momentum is conserved because there are no external forces.,6
46,"Due to absence of any external force, momentum of the entire system is conserved.",Phrasing Variation,"Due to absence of any external force, momentum of the entire system is conserved.",7
47,"Since external force is absent, the total momentum of the system remains constant.",Phrasing Variation,"Since external force is absent, the total momentum of the system remains constant.",5
48,"The system being isolated means no external force acts, so momentum is conserved.",Phrasing Variation,"The system being isolated means no external force acts, so momentum is conserved.",7
49,Momentum stays the same because no net force from outside acts on the system.,Phrasing Variation,Momentum stays the same because no net force from outside acts on the system.,5
50,"When the system is closed and external forces are zero, momentum is always conserved.",Phrasing Variation,"When the system is closed and external forces are zero, momentum is always conserved.",-1
